iter	Passed	Remaining
0	65	65167
1	80	40076
2	91	30408
3	97	24291
4	104	20710
5	111	18508
6	119	16883
7	126	15736
8	135	14929
9	144	14348
10	153	13762
11	160	13234
12	168	12779
13	172	12119
14	178	11690
15	183	11296
16	190	10992
17	195	10639
18	201	10378
19	207	10158
20	212	9911
21	218	9712
22	226	9627
23	232	9434
24	238	9308
25	245	9192
26	251	9064
27	257	8934
28	263	8833
29	273	8840
30	280	8755
31	295	8951
32	327	9610
33	370	10525
34	414	11423
35	425	11399
36	440	11454
37	459	11627
38	480	11837
39	493	11850
40	504	11791
41	512	11685
42	521	11605
43	532	11565
44	544	11561
45	550	11426
46	557	11300
47	562	11159
48	570	11080
49	577	10969
50	584	10867
51	591	10789
52	599	10710
53	606	10620
54	612	10517
55	619	10435
56	624	10333
57	629	10222
58	636	10147
59	643	10086
60	656	10099
61	664	10059
62	671	9986
63	678	9920
64	686	9869
65	692	9804
66	698	9721
67	705	9666
68	711	9602
69	718	9544
70	725	9488
71	732	9436
72	738	9376
73	745	9334
74	752	9286
75	758	9226
76	765	9180
77	771	9124
78	778	9072
79	785	9030
80	791	8979
81	798	8941
82	805	8896
83	812	8856
84	819	8823
85	826	8783
86	833	8744
87	840	8706
88	847	8673
89	854	8643
90	862	8618
91	870	8594
92	879	8579
93	887	8552
94	896	8541
95	908	8552
96	921	8581
97	944	8691
98	962	8757
99	974	8771
100	991	8826
101	1011	8902
102	1026	8938
103	1042	8984
104	1052	8968
105	1063	8967
106	1074	8963
107	1085	8962
108	1097	8972
109	1108	8969
110	1118	8956
111	1130	8961
112	1141	8963
113	1152	8956
114	1164	8963
115	1175	8954
116	1183	8928
117	1192	8910
118	1200	8887
119	1209	8868
120	1217	8841
121	1225	8817
122	1233	8793
123	1240	8762
124	1248	8739
125	1256	8714
126	1263	8686
127	1271	8661
128	1279	8636
129	1287	8617
130	1293	8581
131	1302	8563
132	1312	8559
133	1338	8652
134	1359	8713
135	1379	8764
136	1405	8856
137	1419	8865
138	1431	8866
139	1443	8866
140	1457	8881
141	1474	8908
142	1487	8916
143	1500	8917
144	1512	8915
145	1522	8903
146	1536	8914
147	1557	8965
148	1578	9013
149	1593	9031
150	1629	9160
151	1654	9232
152	1676	9279
153	1688	9276
154	1702	9280
155	1717	9290
156	1727	9278
157	1739	9269
158	1748	9250
159	1759	9237
160	1768	9214
161	1775	9184
162	1783	9158
163	1792	9134
164	1800	9111
165	1808	9087
166	1817	9064
167	1845	9140
168	1897	9332
169	1919	9374
170	1940	9408
171	1953	9406
172	1963	9385
173	1974	9374
174	1984	9356
175	1992	9326
176	1998	9294
177	2006	9264
178	2016	9249
179	2026	9230
180	2035	9209
181	2045	9191
182	2062	9206
183	2070	9184
184	2078	9154
185	2086	9129
186	2093	9102
187	2101	9077
188	2108	9048
189	2117	9028
190	2125	9001
191	2132	8972
192	2138	8943
193	2145	8914
194	2152	8887
195	2159	8859
196	2166	8831
197	2173	8805
198	2180	8777
199	2187	8750
200	2194	8723
201	2202	8701
202	2210	8677
203	2217	8652
204	2224	8628
205	2232	8604
206	2239	8578
207	2246	8554
208	2253	8528
209	2260	8503
210	2267	8480
211	2275	8457
212	2282	8433
213	2289	8409
214	2298	8392
215	2306	8370
216	2314	8349
217	2321	8325
218	2328	8302
219	2334	8278
220	2341	8255
221	2349	8233
222	2356	8211
223	2363	8189
224	2370	8166
225	2378	8145
226	2385	8124
227	2393	8103
228	2400	8082
229	2408	8062
230	2414	8038
231	2422	8018
232	2429	7995
233	2435	7973
234	2442	7949
235	2448	7927
236	2455	7905
237	2462	7883
238	2469	7862
239	2475	7839
240	2483	7821
241	2490	7800
242	2497	7780
243	2505	7764
244	2513	7746
245	2520	7726
246	2528	7706
247	2534	7684
248	2541	7663
249	2547	7642
250	2554	7623
251	2561	7603
252	2568	7582
253	2574	7561
254	2580	7540
255	2587	7520
256	2593	7499
257	2601	7480
258	2611	7470
259	2621	7461
260	2630	7449
261	2638	7430
262	2645	7413
263	2652	7395
264	2660	7377
265	2666	7358
266	2673	7340
267	2681	7323
268	2688	7304
269	2694	7286
270	2701	7267
271	2708	7248
272	2715	7231
273	2721	7211
274	2728	7192
275	2734	7174
276	2741	7156
277	2748	7138
278	2755	7120
279	2762	7102
280	2768	7083
281	2774	7065
282	2781	7047
283	2788	7029
284	2795	7012
285	2801	6994
286	2808	6977
287	2815	6959
288	2822	6942
289	2829	6926
290	2836	6911
291	2842	6892
292	2849	6874
293	2855	6856
294	2862	6840
295	2869	6825
296	2876	6809
297	2883	6793
298	2890	6777
299	2898	6764
300	2906	6748
301	2913	6734
302	2920	6717
303	2927	6703
304	2935	6688
305	2942	6673
306	2949	6658
307	2956	6643
308	2964	6628
309	2971	6613
310	2979	6600
311	2986	6585
312	2994	6572
313	3002	6559
314	3012	6550
315	3019	6535
316	3027	6523
317	3035	6509
318	3042	6496
319	3049	6480
320	3057	6466
321	3064	6451
322	3071	6437
323	3079	6424
324	3086	6409
325	3093	6395
326	3101	6382
327	3108	6368
328	3115	6354
329	3122	6339
330	3129	6325
331	3136	6310
332	3142	6295
333	3149	6280
334	3156	6266
335	3163	6251
336	3169	6235
337	3175	6219
338	3182	6205
339	3190	6192
340	3196	6176
341	3202	6162
342	3209	6148
343	3216	6134
344	3223	6120
345	3230	6106
346	3237	6092
347	3244	6078
348	3250	6063
349	3257	6050
350	3265	6037
351	3272	6023
352	3278	6008
353	3285	5995
354	3293	5983
355	3301	5972
356	3307	5958
357	3315	5945
358	3322	5931
359	3329	5919
360	3336	5906
361	3343	5893
362	3350	5880
363	3358	5868
364	3366	5857
365	3374	5845
366	3382	5834
367	3391	5824
368	3397	5810
369	3405	5799
370	3413	5786
371	3421	5776
372	3429	5764
373	3437	5754
374	3445	5741
375	3452	5730
376	3460	5717
377	3468	5707
378	3475	5694
379	3483	5682
380	3491	5672
381	3500	5662
382	3508	5652
383	3517	5643
384	3524	5630
385	3533	5620
386	3541	5608
387	3549	5598
388	3556	5586
389	3565	5577
390	3573	5565
391	3581	5555
392	3589	5544
393	3598	5534
394	3606	5523
395	3614	5512
396	3622	5501
397	3630	5490
398	3638	5479
399	3646	5469
400	3654	5458
401	3662	5447
402	3669	5436
403	3678	5426
404	3686	5415
405	3694	5404
406	3703	5395
407	3712	5386
408	3720	5375
409	3729	5366
410	3737	5355
411	3745	5345
412	3752	5334
413	3761	5324
414	3768	5312
415	3777	5302
416	3784	5291
417	3793	5281
418	3803	5274
419	3815	5269
420	3846	5290
421	3861	5288
422	3871	5280
423	3881	5272
424	3892	5266
425	3900	5256
426	3909	5246
427	3918	5236
428	3926	5226
429	3934	5215
430	3943	5206
431	3951	5194
432	3960	5185
433	3968	5176
434	3978	5167
435	3987	5157
436	3995	5148
437	4004	5137
438	4011	5126
439	4021	5118
440	4030	5108
441	4038	5098
442	4046	5087
443	4055	5078
444	4063	5068
445	4072	5058
446	4081	5049
447	4090	5040
448	4098	5029
449	4107	5020
450	4115	5009
451	4124	5000
452	4130	4988
453	4140	4979
454	4148	4968
455	4156	4958
456	4165	4948
457	4173	4939
458	4181	4928
459	4190	4919
460	4198	4908
461	4207	4899
