iter	Passed	Remaining
0	7	7242
1	10	5309
2	14	4755
3	17	4368
4	22	4443
5	26	4361
6	29	4254
7	33	4205
8	38	4207
9	42	4195
10	53	4829
11	72	5977
12	79	6016
13	90	6393
14	103	6769
15	110	6790
16	115	6658
17	124	6801
18	130	6722
19	134	6604
20	139	6509
21	154	6876
22	163	6927
23	167	6802
24	172	6719
25	177	6644
26	181	6546
27	185	6451
28	189	6347
29	193	6253
30	197	6167
31	202	6119
32	206	6059
33	216	6138
34	220	6080
35	224	6007
36	230	6004
37	236	5995
38	240	5922
39	244	5858
40	248	5807
41	253	5785
42	257	5737
43	261	5689
44	267	5671
45	272	5643
46	276	5600
47	281	5577
48	284	5528
49	289	5492
50	293	5452
51	297	5428
52	302	5397
53	306	5366
54	309	5325
55	315	5313
56	319	5279
57	323	5254
58	327	5228
59	332	5203
60	336	5181
61	340	5156
62	345	5134
63	350	5122
64	353	5090
65	358	5068
66	362	5051
67	366	5029
68	371	5007
69	375	4990
70	380	4974
71	384	4957
72	388	4936
73	393	4926
74	397	4904
75	402	4892
76	407	4884
77	411	4869
78	416	4854
79	420	4839
80	425	4826
81	430	4824
82	435	4810
83	440	4802
84	444	4789
85	449	4780
86	454	4765
87	460	4771
88	474	4855
89	483	4884
90	488	4875
91	491	4851
92	495	4830
93	499	4813
94	504	4802
95	508	4790
96	512	4772
97	516	4756
98	521	4742
99	525	4725
100	529	4710
101	533	4694
102	537	4679
103	541	4668
104	546	4661
105	551	4652
106	555	4639
107	560	4629
108	564	4615
109	568	4602
110	573	4590
111	577	4578
112	581	4566
113	585	4553
114	590	4541
115	594	4530
116	598	4520
117	603	4507
118	607	4500
119	612	4489
120	616	4476
121	621	4472
122	625	4463
123	630	4452
124	634	4440
125	638	4432
126	643	4424
127	647	4414
128	652	4405
129	656	4396
130	660	4384
131	665	4374
132	669	4364
133	673	4354
134	678	4347
135	683	4339
136	687	4330
137	691	4320
138	695	4310
139	700	4300
140	704	4291
141	709	4284
142	713	4277
143	718	4270
144	722	4259
145	726	4247
146	730	4238
147	734	4229
148	738	4220
149	743	4211
150	747	4203
151	751	4191
152	755	4183
153	760	4178
154	764	4165
155	768	4157
156	772	4149
157	777	4143
158	782	4137
159	786	4130
160	791	4123
161	795	4114
162	799	4106
163	803	4097
164	808	4092
165	812	4084
166	817	4078
167	826	4093
168	837	4117
169	842	4111
170	855	4147
171	863	4156
172	872	4170
173	876	4161
174	880	4149
175	884	4142
176	889	4136
177	893	4126
178	898	4119
179	902	4113
180	907	4105
181	911	4096
182	915	4088
183	920	4082
184	924	4074
185	929	4068
186	934	4061
187	939	4055
188	943	4049
189	947	4040
190	952	4034
191	956	4026
192	960	4017
193	965	4009
194	969	4002
195	973	3995
196	978	3987
197	982	3979
198	986	3971
199	991	3965
200	995	3958
201	1000	3950
202	1004	3941
203	1008	3936
204	1013	3928
205	1016	3919
206	1021	3915
207	1026	3908
208	1031	3902
209	1035	3896
210	1040	3890
211	1044	3880
212	1048	3874
213	1053	3867
214	1057	3862
215	1062	3855
216	1066	3848
217	1071	3841
218	1075	3834
219	1079	3826
220	1083	3818
221	1093	3832
222	1098	3826
223	1102	3818
224	1106	3811
225	1110	3804
226	1115	3798
227	1119	3790
228	1123	3781
229	1127	3775
230	1132	3770
231	1136	3763
232	1141	3756
233	1145	3751
234	1150	3744
235	1154	3737
236	1158	3730
237	1162	3723
238	1167	3716
239	1171	3708
240	1175	3701
241	1179	3695
242	1183	3687
243	1188	3681
244	1193	3677
245	1198	3672
246	1202	3666
247	1207	3660
248	1211	3654
249	1215	3647
